"DOTA_Tooltip_ability_Advanced_laser_note_lv5"				"[Преломление +]Добавить единицу к числу преломлений"


"DOTA_Tooltip_ability_Advanced_clock_and_dagger_note_lv5"				"[Комбо+]После 15 стаков есть 20%% шанс удвоить бонус к урону от ловкости."
"DOTA_Tooltip_ability_Advanced_clock_and_dagger_note_lv10"			"[Коннор Кенуэй+]Наследование эффектов увеличено до 50%%"
"DOTA_Tooltip_ability_Advanced_clock_and_dagger_note_lv15"			"[Спрятан в дикой природе]При запуске атаки, если в радиусе 400 есть непобедимые союзники, умение не уходит на перезарядку"
"DOTA_Tooltip_ability_Advanced_clock_and_dagger_note_lv20"			"[Тьма скрыта в городе]Каждый раз, когда вы запускаете ответный удар, вы получаете 2 секунды [задержки], и умение не войдет в кулдаун, пока не истечет эффект задержки (если в это время не сработает эффект LV15)."
"DOTA_Tooltip_ability_Advanced_clock_and_dagger_note_base_Info"  "Множитель ловкости: +0,05/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_clock_and_dagger_note_lv25_1"				"[Berserker Assassin]Lose the effect of low attack priority, but it will be regarded as back attack no matter what angle"
"DOTA_Tooltip_ability_Advanced_clock_and_dagger_note_lv25_2"				"[Unlimited Combo]The maximum stack  of 'combo' is increased to 100. If the combo fails, only 30%% of the stack will be deducted"
"DOTA_Tooltip_ability_Advanced_clock_and_dagger_note_lv25_3"				"[Secret Assassin]Onlu Riki with the 'Secret Assassin' talent can unlock this effect. Your atttack has a 15%% chance to launch back stab attack twice after 0.1/0.2 seconds when you trigger back stab attack (regarded as reward attack)"



"DOTA_Tooltip_ability_Advanced_necromastery_note_lv5"				"[Дилемма души+]Бонус за душу увеличен до 0,5%%"
"DOTA_Tooltip_ability_Advanced_necromastery_note_lv10"			"[Эффективное преобразование +]Преобразование базового урона от атаки теперь составляет 75%%"
"DOTA_Tooltip_ability_Advanced_necromastery_note_lv15"			"[Извлечение души]При попадании атаки есть шанс 15%% напрямую извлечь душу.Если душа достигла верхнего предела, она будет преобразована во временную душу на 10 секунд, но временная душа имеет максимальное количество слоев, что согласуется с постоянной душой(Не зависит от увеличения продолжительности положительного эффекта)"
"DOTA_Tooltip_ability_Advanced_necromastery_note_lv20"			"[Извлечение души+]Юниты, у которых были извлечены души, получают дополнительно 3%% физического урона, который независимо суммируется в течение 10 секунд.(Не зависит от улучшений сопротивления эффекту и продолжительности негативного эффекта)"
"DOTA_Tooltip_ability_Advanced_necromastery_note_base_Info"  "Бонус к урону от атаки за душу: +0,1/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_necromastery_note_lv25_1"				"[The Soul Collector]Maximum number of souls increased to 120"
"DOTA_Tooltip_ability_Advanced_necromastery_note_lv25_2"				"[Soul Distiller]'Soul Extraction' trigger chance increased to 40%%, and there is no upper limit for temporary souls"
"DOTA_Tooltip_ability_Advanced_necromastery_note_lv25_3"				"[Soul of Death]When the stack of souls is max number, the attack will consume one soul, increasing the attack damage by 10 times of the basic attack damage"




"DOTA_Tooltip_ability_Advanced_empower_note_lv5"				"[Эхо+]Сила атаки увеличивается на 23 за стак."
"DOTA_Tooltip_ability_Advanced_empower_note_lv10"			"[Эхо +]Максимальное количество стаков усиления увеличено до 8."
"DOTA_Tooltip_ability_Advanced_empower_note_lv15"			"[Сверхгрант]При применении вызывает двухуровневое обращение к целевому юниту, притягивая к нему всех ближайших врагов в радиусе 500 единиц и вызывая оглушение на 1,5 секунды.(Влияет на сопротивление статусу и увеличение продолжительности негативного статуса)"
"DOTA_Tooltip_ability_Advanced_empower_note_lv20"			"[Несколько грантов]Предоставляет статус цели и ближайшего юнита"
"DOTA_Tooltip_ability_Advanced_empower_note_base_Info"  "Бонус к силе атаки +0,7%/уровень<br/>Разделенный урон: +0,4%/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_empower_note_lv25_1"				"[Eternal]Status duration becomes permanent"
"DOTA_Tooltip_ability_Advanced_empower_note_lv25_2"				"[Bipolar Collapse]Melee/ranged heroes have 7/2%% chance, and melee/ranged summoned units have 2/0.7%% chance to trigger a Reverse Polarity effect in 350 range when attacking the target(The reward attack will not trigger this effect)"
"DOTA_Tooltip_ability_Advanced_empower_note_lv25_3"				"[Inheritance of Strength]Automatically apply a Empower effect to any ally's summoned when it appears. The duration is half of the summoning time (permanent if it is the summoned is permanent)"




"DOTA_Tooltip_ability_Advanced_hyakkiyakou_note_lv5"				"[Трио]Может атаковать три цели одновременно"
"DOTA_Tooltip_ability_Advanced_hyakkiyakou_note_lv10"			"[Сон для души]Время сна увеличено до 1,8 секунды."
"DOTA_Tooltip_ability_Advanced_hyakkiyakou_note_lv15"			"[Все вон]Частота атаки 0,7 сек/выстрел"
"DOTA_Tooltip_ability_Advanced_hyakkiyakou_note_lv20"			"[Реквием]Продолжительность царства теперь зависит от 50%% увеличения времени призыва."
"DOTA_Tooltip_ability_Advanced_hyakkiyakou_note_base_Info"  "основной урон:+4/Уровень<br/>Множитель интеллекта:+0.04/Уровень<br/>"
"DOTA_Tooltip_ability_Advanced_hyakkiyakou_note_lv25_1"				"[Entwined by Evil]Enchant a demon on yourself, and automatically attack 2 enemies every 0.7 seconds"
"DOTA_Tooltip_ability_Advanced_hyakkiyakou_note_lv25_2"				"[Sandman]Make teammates' dreams come true, reduce your probability event bonus by 30%%, but increase all other friendly heroes by 18%% (selling skills will lose effect)"
"DOTA_Tooltip_ability_Advanced_hyakkiyakou_note_lv25_3"				"[Possession of Ghosts]Summons summoned will call a small evil attach it, which can automatically attack an enemy every 7 seconds"


"DOTA_Tooltip_ability_Advanced_fear_arua_note_lv5"				"[Паника]Шанс срабатывания увеличен до 7%%"
"DOTA_Tooltip_ability_Advanced_fear_arua_note_lv10"			"[Гнойный]Стаки в секунду увеличены на 100%%"
"DOTA_Tooltip_ability_Advanced_fear_arua_note_lv15"			"[Концентрированный страх]Если количество врагов в области меньше 3, он даст дополнительный эффект концентрированного страха, уменьшая его исцеляющий эффект и сопротивление эффектам на 30%%."
"DOTA_Tooltip_ability_Advanced_fear_arua_note_lv20"			"[Передача страха]Каждый враг, убитый под аурой страха, заставит другие юниты в поле усиливать эффект страха, уменьшая сопротивление статусу на 5%% на 20 секунд, до 50%%, суммируясь независимо, не подвергаясь воздействию сопротивления статусу и отрицательному эффекту усиления статуса."
"DOTA_Tooltip_ability_Advanced_fear_arua_note_base_Info"  "Снижение силы атаки: +0,3%/уровень<br/>Снижение сопротивления урону: +0,3%/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_fear_arua_note_lv25_1"				"[черный гроб]You can actively cast to generate a black capsule to trap an enemy. The target will not be able to move. Fixed for 5 seconds. It will take 150%% additional damage in these five seconds. The fixed cooldown is 30 seconds and you cannot refresh this spell. (It is recommended that people with low mental endurance do not learn the special effect. I feel sick of it myself.)"
"DOTA_Tooltip_ability_Advanced_fear_arua_note_lv25_2"				"[Kyouhukou]Insect relatives (summoned units) can be affected by 150%% summoning enhancement (that is, when your summoning gain is 20%%, it will be regarded as 30%%) and it's outgoing damage will be increased by 40%% (currently only supports small spiders)"
"DOTA_Tooltip_ability_Advanced_fear_arua_note_lv25_3"				"[Dread Lord]The desperation you send out floats. The enemy's attack damage reduction effect is increased to 35%%, and the damage has a 10%% chance reduce to 0"


"DOTA_Tooltip_ability_Advanced_water_prison_note_lv5"				"[Большая водная тюрьма]Увеличивает область действия еще на 100"
"DOTA_Tooltip_ability_Advanced_water_prison_note_lv10"			"[Тяньская тюрьма]Враги в зоне водной тюрьмы не будут иметь объема столкновения, будут пассивно уничтожены и не смогут двигаться."
"DOTA_Tooltip_ability_Advanced_water_prison_note_lv15"			"[Проточная вода]Если основная цель — союзник, увеличьте на 5%% максимальную регенерацию здоровья в секунду, если это враг, отключите регенерацию здоровья."
"DOTA_Tooltip_ability_Advanced_water_prison_note_lv20"			"[Живая вода+]Время действия увеличено на 1 секунду, действует на всех юнитов вокруг основной цели."
"DOTA_Tooltip_ability_Advanced_water_prison_note_base_Info"  "Базовый урон: +10/уровень<br/>Множитель интеллекта: +0,1/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_water_prison_note_lv25_1"				"[Безумная водная тюрьма]A torrent will be generated in the water prison. When an enemy is in the water prison for 1-3 seconds, you can generate a torrent and cause a water prison damage to 2 random enemies in the area"
"DOTA_Tooltip_ability_Advanced_water_prison_note_lv25_2"				"[Обширная небесная тюрьма]Whether cast to a enemy or not, it will apply the same effect on 4 distant enemies in the range, with a 0.2-2.5 second bonus duration, and increase the damage Intelligence Multiplier by 5"
"DOTA_Tooltip_ability_Advanced_water_prison_note_lv25_3"				"[Энергопоглощающая тюрьма]You can turn on auto casting, which will make the buff lasts for 30 seconds when you cast to an ally's summon, drain 4%% of its maximum HP every second and convert 20/10%% of this value into you as temporary bonus HP/MP, lasting for 30 seconds, bonus HP/MP uo tp 20000/10000, and you can imprison multiple summoneds at the same time. The water prison will no longer affect other enemies if you use auto cast effect (except for the damage effect)"


"DOTA_Tooltip_ability_Advanced_summon_Slime_note_lv5"				"[Защитный слой]Расчетный урон снижен до 150%%"
"DOTA_Tooltip_ability_Advanced_summon_Slime_note_lv10"			"[Фильтр повреждений]Эффект фильтра увеличен до 1,5% на каждые 10 пунктов дистанции."
"DOTA_Tooltip_ability_Advanced_summon_Slime_note_lv15"			"[Ранний фильтр]Защитный слой будет отфильтровывать значение, равное 200%% защиты слайма, и эта часть урона не будет засчитываться в урон слайма."
"DOTA_Tooltip_ability_Advanced_summon_Slime_note_lv20"			"[Ранний фильтр+]Теперь уменьшит урон на 20%% перед удалением фиксированного смещения."
"DOTA_Tooltip_ability_Advanced_summon_Slime_note_base_Info"  "Наследование здоровья: +2,5%/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_summon_Slime_note_lv25_1"				"[Разведение]Slime breeds strength. When an enemy dies in its own 'Protective Stack', it can increase the ability's heath inheritance by 20 (multiple Slime can trigger this effect in the asme time), up to 20000, and health inheritance increased by 10%% every 2500 bonus"
"DOTA_Tooltip_ability_Advanced_summon_Slime_note_lv25_2"				"[Пищеварение]Slime can digest the enemies in the 'Protective Stack', and permanently reduce their armor by 0.2 points per second.multiple Slime can trigger this effect in the asme time. Stack up to 100"
"DOTA_Tooltip_ability_Advanced_summon_Slime_note_lv25_3"				"[Fuse]Slime can merged with the nearest nearby Slime and become a new one(1000 range). The new Slime's attributes are the additional calculation of the die one plus the target one, its life duration is the remaining life duration(+10s) of the target Slime. Will not be affected by a summoning enhancement again. When the fusion times of a Slime exceed 10, it will not trigger this effect"






"DOTA_Tooltip_ability_Advanced_Boundless_Strike_note_lv5"				"[Динхай]Эффект усиления увеличен на 50%, не считая ограничения"
"DOTA_Tooltip_ability_Advanced_Boundless_Strike_note_lv10"			"[Боевые дни]Длится пять атак"
"DOTA_Tooltip_ability_Advanced_Boundless_Strike_note_lv15"			"[Бог битвы]Если количество пораженных целей меньше 5, второй эффект наступит через 0,3 секунды."
"DOTA_Tooltip_ability_Advanced_Boundless_Strike_note_lv20"			"[Преображение]Эффект «Боевого неба» имеет половину эффекта критического удара."
"DOTA_Tooltip_ability_Advanced_Boundless_Strike_note_base_Info"  "Критический удар: +12%%/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_Boundless_Strike_note_lv25_1"				"[Битва Святых Будд]Перезарядка умения снижена до 3,5 секунд, а эффект «Динхай» меняется на «Диньтянь», а атака гарантированно попадает"
"DOTA_Tooltip_ability_Advanced_Boundless_Strike_note_lv25_2"				"[Боевой бог святого Будды]Независимо от того, меньше ли цель 5, она будет генерировать еще 5 эффектов в течение 1 секунды, выпуская из случайной точки в целевую точку,"
"DOTA_Tooltip_ability_Advanced_Boundless_Strike_note_lv25_3"				"[Борьба с Богом Святого Будды]Расширение влево и вправо создаст ряд палок, ударяющихся о землю, что может вызвать множественные эффекты в перекрывающейся области."






"DOTA_Tooltip_ability_Advanced_assassinate_note_lv5"				"[Большая пуля]Наследуемый урон увеличен до 80%%"
"DOTA_Tooltip_ability_Advanced_assassinate_note_lv10"			"[Становиться лучше]Каждая атака может сократить время восстановления текущего навыка на 7,5%%"
"DOTA_Tooltip_ability_Advanced_assassinate_note_lv15"			"[Позиция передачи]Скорость высвобождения умения увеличена на 100%%.Когда умение находится на перезарядке, дальность перемещения "Рывка" увеличивается на 500, а время перезарядки уменьшается на 2 секунды (не будет отображаться на панели)"
"DOTA_Tooltip_ability_Advanced_assassinate_note_lv20"			"[Плазменные боеприпасы]Плазменные боеприпасы могут быть запущены, и урон, нанесенный в это время, наследует полную силу атаки и вызывает 10-кратный неуменьшаемый эффект оглушения цели и окружающих юнитов (фиксированное время КД 20 секунд)."
"DOTA_Tooltip_ability_Advanced_assassinate_note_base_Info"  "Базовый урон: +40/уровень<br/>Множитель атаки: +0,15/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_assassinate_note_lv25_1"				"[Inheritance of Jame]The cooldown of the ability is reduced to 7 seconds, and the cast point reduced to 0.1 seconds. The bullets will also cause damage to the units passing through. If you launch a normal attack within 0.5 seconds after the assassination release is completed, the cooldown can be reduced to 3.5 seconds"
"DOTA_Tooltip_ability_Advanced_assassinate_note_lv25_2"				"[Gunfighting]The bullet can bounce 3 times after hitting."
"DOTA_Tooltip_ability_Advanced_assassinate_note_lv25_3"				"[Ammo Depot]When you do not attack the enemy, you can create a Plasma Ammo every 5 seconds.If the 'Plasma Ammo' is ready, it will be consumed preferentially. Store up to 10 ammo. The cooldown time of the spell will be reduced to 1 second when using Plasma Ammo"


"DOTA_Tooltip_ability_Advanced_corrosive_haze_note_lv5"				"[Воля Ктулху]Время стаков увеличено до 7"
"DOTA_Tooltip_ability_Advanced_corrosive_haze_note_lv10"			"[Сильная коррозия]Дополнительный физический урон увеличен до 22%%"
"DOTA_Tooltip_ability_Advanced_corrosive_haze_note_lv15"			"[Очарование океана]Атаки могут обновить эффект статуса этого навыка на цели."
"DOTA_Tooltip_ability_Advanced_corrosive_haze_note_lv20"			"[Разрушение разума]При активном использовании, если вокруг цели нет союзников в радиусе 400, снижает ее базовую силу атаки на 50%% на 2 секунды."
"DOTA_Tooltip_ability_Advanced_corrosive_haze_note_base_Info"  "Снижение брони: +0,5/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_corrosive_haze_note_lv25_1"				"[Ocean Engraving · Erosion]When the target's armor is negative, each point of negative value will increase it's physical damage taken by 1%%, but up to 100%%"
"DOTA_Tooltip_ability_Advanced_corrosive_haze_note_lv25_2"				"[Brine Basin]Gain aura effect and apply spell effect to enemies around 500"
"DOTA_Tooltip_ability_Advanced_corrosive_haze_note_lv25_3"				"[Brine Charm]You can cast on a friendly hero and apply a Permanent buff, so that its attack can add a stack of spell effect to the target, lasting for 2 seconds"



"DOTA_Tooltip_ability_Advanced_invincible_army_note_lv5"				"[расширенный]Дальность атаки увеличена на 100"
"DOTA_Tooltip_ability_Advanced_invincible_army_note_lv10"			"[Настоящая атака]Унаследованный шанс атаки увеличен до 30%%"
"DOTA_Tooltip_ability_Advanced_invincible_army_note_lv15"			"[Домен грома]Союзники в поле получают увеличение урона на 12%% Если противников в поле больше 5, каждую секунду выбирайте врага, чтобы сбросить на него молнию, наносящую удвоенный урон от атаки солдат"
"DOTA_Tooltip_ability_Advanced_invincible_army_note_lv20"			"[Люди]Небесные солдаты появляются на 20%% быстрее, но их здоровье уменьшается на 1 секунду."
"DOTA_Tooltip_ability_Advanced_invincible_army_note_base_Info"  "Множитель урона к ловкости: +0,08/уровень<br/>"
"DOTA_Tooltip_ability_Advanced_invincible_army_note_lv25_1"				"[The Heavenly Army Comes]The teleport time required reduced to 1.3 seconds, the generation Interval is reduced to 0.1 seconds, but there can only be 15 warriors at most in one array"
"DOTA_Tooltip_ability_Advanced_invincible_army_note_lv25_2"				"[Phantom Incarnation]Your attack has a 15%% chance to summon a warrior around the target. For bonus attacks, you only have a 2%% chance to trigger (not affected by the probability event bonus)"
"DOTA_Tooltip_ability_Advanced_invincible_army_note_lv25_3"				"[The Shadow of Onyx] All attacks of the warriors will trigger 'Real Attack'"



"DOTA_Tooltip_ability_Advanced_chaos_strike_note_lv5"				"[Chaos System+] The change interval is increased to [-5,25] %%"
"DOTA_Tooltip_ability_Advanced_chaos_strike_note_lv10"			"[Chaos Judgment] Damage absorption increased to 18%%"
"DOTA_Tooltip_ability_Advanced_chaos_strike_note_lv15"			"[Chaos System++] The probability of most probability events is increased by 5-15%% (Multiply stacking, same as the third level of False Promise, please refer to description for more information) but it does not affect yourself, and also increase the success probability of 'risk dice' 1%% (linearly stacking, not stacking with New Year's group activity rewards"
"DOTA_Tooltip_ability_Advanced_chaos_strike_note_lv20"			"[Fractal theory] Additional critical strike chance generated by 'Chaos System' is a multiple or factor of the value generated of previous time ( Both numbers are required to be greater than 1) . Then it is guaranteed to be a critical hit and the critical hit damage is increased by 1 times. (In fact, it is similar to Coup de Grace. In the end, it can be written as an exact probability, but a probability cannot highlight the theme of fractals.)"
"DOTA_Tooltip_ability_Advanced_chaos_strike_note_base_Info"  "Minimum Critical Damage: +2%/Level <br/>Maximum Critical Damage: +4%/Level "
"DOTA_Tooltip_ability_Advanced_chaos_strike_note_lv25_1"				"[Judgment]After triggering Chaos Strike, you have a 40%% chance (affected by the probability event bonus) to delay 0.5 seconds and cause another physical damage equal to this critical hit damage to the target(In the form of spell damage)"
"DOTA_Tooltip_ability_Advanced_chaos_strike_note_lv25_2"				"[Chaotic Rupture]When Chaos Strike is triggered, it can generate 200%% damage split in 500 range, but it can only be triggered once every 0.3 seconds"
"DOTA_Tooltip_ability_Advanced_chaos_strike_note_lv25_3"				"[Chaotic Creation]After Chaos hit is triggered, the maximum critical damage will be increased by 5% %(linear) in 35 seconds"


"DOTA_Tooltip_ability_Advanced_Electrostatic_Armor_note_lv5"				"[Activation+] Trigger required damage reduced from 10% health to 8%%"
"DOTA_Tooltip_ability_Advanced_Electrostatic_Armor_note_lv10"			"[Static Shield+] resist all damage, increase shield to strength * 1.5 for each enemy affected. "
"DOTA_Tooltip_ability_Advanced_Electrostatic_Armor_note_lv15"			"[Static amor] For the duration of 'Static Armor', gain an additional 20%% magic resistance and 10 points of armor, and when the damage is greater than 100, it will recoil the magic damage of the opponent's power * 2"
"DOTA_Tooltip_ability_Advanced_Electrostatic_Armor_note_lv20"			"[Collaborate]When you have the 'Dragon Skin' effect of the dragon bloodline simultaneously, immune to the magic damage of power * 7, otherwise immune to the magic damage of power * 3"
"DOTA_Tooltip_ability_Advanced_Electrostatic_Armor_note_base_Info"  "Base Damage: +7/Level <br/>Additional Damage Multiplier: 0.05/Level <br/>Bonus Magic Resistance: +0.4%/Level "
"DOTA_Tooltip_ability_Advanced_Electrostatic_Armor_note_lv25_1"				"[Thunder of Wide Area]The effect range and range change speed of Electrostatic are doubled, and it will no longer follow the caster, damage will add 8%% of the caster's maximum HP"
"DOTA_Tooltip_ability_Advanced_Electrostatic_Armor_note_lv25_2"				"[Physical Stimulation]The Electrostatic can stimulate the body of the friendly units, making their attack damage increase by 25%% of the caster's STR within 15 seconds, buff can be stacked independently and up to 3000 bonus. It has double effect on summoned units(affected by positive state duration gain)"
"DOTA_Tooltip_ability_Advanced_Electrostatic_Armor_note_lv25_3"				"[Electrostatic Connection]Summoned can inherit your spell effect, but only have 60%% effect range and have 2s cooldown, will not have the shield effect, causing 200%% damage."





"DOTA_Tooltip_ability_Advanced_Thunderstrike_note_lv5"				"[Extension] Lightning strike range increased to 400"
"DOTA_Tooltip_ability_Advanced_Thunderstrike_note_lv10"			"[Collaborative thunder strike+] Synergistic thunder strike damage increased to INT*3"
"DOTA_Tooltip_ability_Advanced_Thunderstrike_note_lv15"			"[Overload thunder strike] Turn on auto-cast, in this status, the cooldown will be doubled, but generate 3 thunder strike points, each of which will randomly select an enemy from the searched enemy group (can be the same one)"
"DOTA_Tooltip_ability_Advanced_Thunderstrike_note_lv20"			"[thunder] After the thunder circle is generated, launch a small thunder strike on a random enemy in the circle every 0.2 seconds, causing damage equal to INT*1.7"
"DOTA_Tooltip_ability_Advanced_Thunderstrike_note_base_Info"  "Base Damage: +10/Level <br/>bonus damage multiplier: 0.1/Level "
"DOTA_Tooltip_ability_Advanced_Thunderstrike_note_lv25_1"				"[Thor Comes]The spell no longer has a cooldown. It will always release lightning, but 'Overload Thunder Strike' will only generate an additional lightning strike"
"DOTA_Tooltip_ability_Advanced_Thunderstrike_note_lv25_2"				"[Zeus Appendage]Gain extra effect: when you cast any skill with a cooldown greater than 3 seconds, a lightning strike will be generated at the target point(If it is a point target spell, it requires any legal target within 600 of the target point)"
"DOTA_Tooltip_ability_Advanced_Thunderstrike_note_lv25_3"				"[Overload Lightning Stroke · Improved Version]Under automatic casting, it is changed to: lightning strikes will occur at 0.2 second intervals, when more than 3 lightning strikes are generated, 100 points of mana will be consumed to continue to generate lightning strikes. The consumption will increase by 25 for each excess generation. You can turn off automatic casting at any time to turn off this effect"




"DOTA_Tooltip_ability_Advanced_Acid_bomb_note_lv5"				"[Magic Quintuple] Generates 2 additional acid bombs"
"DOTA_Tooltip_ability_Advanced_Acid_bomb_note_lv10"			"[Chemical Reaction+] Duration increased to 6.5 seconds."
"DOTA_Tooltip_ability_Advanced_Acid_bomb_note_lv15"			"[shotgun] It cannot move within 2 seconds after release. randomly release a single acid bullet within 700 range of the target point every 0.5 seconds. The additional acid bullet only deals 50%% damage"
"DOTA_Tooltip_ability_Advanced_Acid_bomb_note_lv20"			"[fort] turn on auto-cast.  Duration of 'shotgun' is increased to 4 seconds, the interval is reduced to 0.4 seconds, the movement is no longer restricted, but will be silent"
"DOTA_Tooltip_ability_Advanced_Acid_bomb_note_base_Info"  "Base Damage: +10/Level <br/> bonus damage multiplier: 0.08/Level "
"DOTA_Tooltip_ability_Advanced_Acid_bomb_note_lv25_1"				"[Long-Range Antiaircraft Gun]The 'Shotgun' will not automatically end but cannot move, and you will disarm and silence. You can change the centering position of the acid bomb with the movement command, and stop this process with the pause (S/H) command"
"DOTA_Tooltip_ability_Advanced_Acid_bomb_note_lv25_2"				"[Gastric Juice Overdraft]'Shotgun' will spit out five acid bullets each time and inherit 100%% damage, but the duration of the acid pool is only 1 second and each release will consume 200 mana, in the automatic casting state, the cooldown time will be increased by 2 seconds for each release. If the mana is not enough, the cooldown time will be consumed automatically. (All effects of lv20 will take effect regardless of whether automatic casting is enabled)"
"DOTA_Tooltip_ability_Advanced_Acid_bomb_note_lv25_3"				"[Acid Enchantment]Only the Range attacker is effective. The spell will converted into a passive spell. Your attack has a 10%% chance to launch a acid bomb (affected by the probability event bonus), enabling automatic casting can increase the trigger probability to 100%%, but it will consume 300 mana each time. The acid bomb has a trigger interval of 0.4 seconds"



"DOTA_Tooltip_ability_Advanced_cold_embrace_note_lv5"				"[Diamondization+] Provides an additional 50%% status resistance"
"DOTA_Tooltip_ability_Advanced_cold_embrace_note_lv10"			"[Flexible Ice+] No longer silences and disarms"
"DOTA_Tooltip_ability_Advanced_cold_embrace_note_lv15"			"[Iced Watermelon] After the freeze ends, the target will still retain the healing effect for 5 seconds (fixed time)"
"DOTA_Tooltip_ability_Advanced_cold_embrace_note_lv20"			"[Completely Frozen] Autocast can be turned on, loses 'Flexible Ice' effect, healing effect reduce for 50%%, but duration is changed to permanent until the target suspend  a pause command"
"DOTA_Tooltip_ability_Advanced_cold_embrace_note_base_Info"  "Base Heal Per Second:+5/Level<br/>Max Health as Heal Per Second：+0.13%%/Level"
"DOTA_Tooltip_ability_Advanced_cold_embrace_note_lv25_1"				"[Lonsdaleite]Friendly troops in ice cocoons can block at least 50%% of physical damage taken, but if they are in 'Completely Frozen', it will only have half the effect"
"DOTA_Tooltip_ability_Advanced_cold_embrace_note_lv25_2"				"[Absolute Cooling]Heroes in 'Completely Frozen' can cool down their abilities at a speed of 180%% (Can't affecting unrefreshable spells, with 10%% efficiency reduction and priority from left to right)"
"DOTA_Tooltip_ability_Advanced_cold_embrace_note_lv25_3"				"[The Breath of Winter]The ice cocoon will counter attack the enemies of the unit it protects, releasing cold air every second to attack up to 7 enemies within 500 ranges around, cause 75%% of the damage taken in the previous one second (returned as physical damage), and the cumulative value per second will not exceed half of its maximum HP. If the 'completely frozen' is working, only 50%% of the damage will be recorded"


"DOTA_Tooltip_ability_Advanced_howl_note_lv5"				"[rimal Fear+The value is increased to 30%%"
"DOTA_Tooltip_ability_Advanced_howl_note_lv10"			"[Continuous Howling]+Add 2 to the maximum number of additional howls"
"DOTA_Tooltip_ability_Advanced_howl_note_lv15"			"[Inspiration] Howl can affect allies at the same time, causing the opposite effect (but do not trigger 'Continuous Howling')"
"DOTA_Tooltip_ability_Advanced_howl_note_lv20"			"[Deep Panic] The attack damage reduction effect no longer only calculates the base attack damage, but calculates the all attack damage"
"DOTA_Tooltip_ability_Advanced_howl_note_base_Info"  "Attack Damage Reduction:+0.3%%/Level<br/>Armor Reduction：+0.3/Level"
"DOTA_Tooltip_ability_Advanced_howl_note_lv25_1"				"[Population Talent]Advanced Summon Wolves will trigger a howl after successful summoning, and the number of summoned wolves will be increased by 3"
"DOTA_Tooltip_ability_Advanced_howl_note_lv25_2"				"[Painful Echo]When the enemy die in the howling debuff, it will emit a death wail, make the allies in the 400 range around them frightened, and increase the incoming by 35%% for 7 seconds, and take physical damage of 200%% of the full attack damage of the hero with the highest full attack damage of the caster's team"
"DOTA_Tooltip_ability_Advanced_howl_note_lv25_3"				"[Blood Howl]Advanced Shapeshift will also provide 50%% full attack damage bonus, at the same time, it will automatically launch a howl every 2 seconds. The superposition of 'Continuous Howling' is no longer limited to the first 1 second"



"DOTA_Tooltip_ability_Advanced_lunar_blessing_note_lv5"				"[Enter Good Night+] ability can be used even in the night"
"DOTA_Tooltip_ability_Advanced_lunar_blessing_note_lv10"			"[Selemene's Blessing+] Attribute bonus increased to 40"
"DOTA_Tooltip_ability_Advanced_lunar_blessing_note_lv15"			"[Interstellar] Allied heroes under the aura gain 4 levels of attribute bonus"
"DOTA_Tooltip_ability_Advanced_lunar_blessing_note_lv20"			"[Enter Good Night++] The duration of the night is increased to 15 seconds, and all bonuses are doubled during the period"
"DOTA_Tooltip_ability_Advanced_lunar_blessing_note_base_Info" "Base Attack Damage Bonus:+3/Level"
"DOTA_Tooltip_ability_Advanced_lunar_blessing_note_lv25_1"				"[The Guide of the Moon]Generate a guide mark at random locations within 1500 around every 5 seconds. If you can reach the guide point within 5 seconds, you can increase the all attribute of aura by 10 points in 60 seconds"
"DOTA_Tooltip_ability_Advanced_lunar_blessing_note_lv25_2"				"[Lunar Sacrifice]Aura can effect on summoned units; You can turn on automatic casting, then the casting can consume 500 gold to permanently increase the basic attack damage bonus of the skill by 3 (the efficiency becomes 50%% after 200 times cast)"
"DOTA_Tooltip_ability_Advanced_lunar_blessing_note_lv25_3"				"[Lunar Eclipse]Friendly heroes under the aura have 5%% chance to triggers a single target's Advanced Lucent Beam when attacking  (Affected by the status carrier's own probability event bonus)"



"DOTA_Tooltip_ability_Advanced_Bloodrage_note_lv5"				"[Excessive Craving+] Lifesteal effect increased to 6%%"
"DOTA_Tooltip_ability_Advanced_Bloodrage_note_lv10"			"[Blood Zeal+] Increases damage bonus by 0.3 times per tier"
"DOTA_Tooltip_ability_Advanced_Bloodrage_note_lv15"			"[Essence Transformation] Will increase base attack damage equal to lost health per second, but up to 300"
"DOTA_Tooltip_ability_Advanced_Bloodrage_note_lv20"			"[Blood Savings] The blood of the units killed during the buff will be transferred to the caster. The blood of each unit can increase the attack damege of the next target by 2. If the stored blood is greater than 100 stacks(that's 200 bpnus), it will lose 20%% of the excess blood."
